Origin,Max Growth (approx),Poisonous for pets,Temperature,Light,Watering,Soil,Re-Potting,Fertilizer,Humidity,Propagation,Common Problems,Common Name,Botanical Name
Mexico,Height upto 1 ft (30 cm).,Mildly toxic for cats and dogs.,"It is more suited to hotter climates and this means that temperatures below freezing will damage the plants. Moving the plant indoors during cold snaps will help to maintain its growth and health, especially if placed on a windowsill that is western or southern facing. N No lower than 50 °F (10°F) – 55°F (12.7°C) is best and during summer between 65°F (18°C) – 75°F – (23.8°C+).","Some direct light is preferable for this plant. South facing windows are ideal or west, north facing will not encourage growth. It can handle cooler climates and hotter climates and because it can handle drought conditions it can be placed in areas that are exposed to long periods of sunlight.","Even though the Sedum rubrotinctum has the ability to cope with dry conditions it will require extra water during the spring and summer months. However, it is important to give the plant time to dry out before watering it again.","Due to its hardy nature, it has the ability to deal with a number of soil types although it does not do particularly well in soils that do not drain well. A cactus ready mix works well.",I would suggest a grower repot every two years unless the plant as outgrown the pot. This is best done during spring.,During the spring and summer months it should be fertilized once a month with a diluted liquid feed at maybe half the strength.,Normal room humidity is fine. Providing air circulation during the warmer months is advised (open doors or windows).,"To achieve this, leaves that are situated on the stem will have to be removed and dried out. Once dry, they can be placed in moist soil, ensuring that the soil remains moist until the cutting begins to grow.",,"Christmas cheer, Pork and beans", Sedum rubrotinctum (botanical/scientific).
Africa and then developed in Thailand to the Lactea crest.,Height 9 in – 15 in.,Toxic to cats and dogs (see description).,The Coral likes it’s sunshine and warm conditions which help it to grow and maintain’s it’s health. A partially sunny spot and average temperatures of no lower than approximately 60°F (15°C) will suffice.,"These do prefer good light conditions and sunlight, although it’s best to provide them with partial sunlight and shade in high temperatures. This is the type of plant that grows lopsided if it only receives sunlight on one side, which is worth noting.","Before watering the coral cactus check underneath the pot through the drainage holes to see if the roots are dry. If so then add some water. Do not water too often to prevent over watering, that can potentially kill it off.",A cactus soil mix will be fine. The mix needs to be a type that is light and drains easily to prevent the roots from getting water logged.,"Re-pot only when necessary (becomes pot bound, but that’s unlikely). It may be safest to re-pot as soon as you get the Coral home in-case the mix, pot or both are not adequate.","Using fertiliser once each season is a good method, but not in the winter. A good succulent and cacti product bought will provide the correct instructions to follow.",,"These are propagated with cuttings taken in spring, which need to be dried out for a couple of weeks before potting (source; EwaterPlant Bangkok). Do remember that the sap from the Coral is poisonous, so take precautions (gloves – protective eye-wear).",,Coral cactus, Eurphorbia lactea crest (botanical/scientific).
South Mexico.,Stems trail from 1 – 3 ft long .,Non-toxic to cats and dogs.,Temperatures averaging 65°F/18°C – 80°F/26°C are very good and not much below 50°F/10°C. During winter it is fine if the temperature drops down and it can encourage them to actually bloom in the forthcoming spring season.,"For this species to grow well you will need to at least provide a good amount of direct light. And, if you can sunshine, but not too much during the afternoon summer sun.","During the growing season from April – September water the plant thoroughly and then water when the soil becomes dry to the touch. During winter cut down on the watering, which the plant may only need once a month. Remember it’s a succulent and stores water in it leaves and stems…when you think it’s lacking water it is not. Underwatering is much safer that overwatering and it’s the No 1 killer for this plant.",Potting mix that keeps the roots well aerated and drains well is required. To keep it simple I would pot up with a ready made cactus soil mix.,You will only need to repot this plant during spring when the existing pot has become to small for it and use a shallow pot (the roots do not grow very long).,,"Normal room humidity seems to work fine. Try and provide plenty of air circulation (open windows, doors, etc.) during summer.",Two methods are suitable for propagation. Leaf cuttings can be taken and placed in soil after the leaves have been left to dry for about 2 – 3 days. A couple of inches of stem can also be taken at the tip of the plant stems. After placing the stem tips in soil (only keep 2 or 3 leaves and remove others) and watering the soil once. I would not water again until I could see some sign of growth in case overwatering kills it.,,Donkey’s and Burros Tail, Sedum Morganianum (botanical/scientific).
Brazil.,Height 25 in/63 cm.,Non-Toxic to cats and dogs.,"Temperature: The tropical Hatiora gaertneri prefers spring, summer, and fall temperatures around 75-80°F (24-27°C). Winter temperatures should be between 45-6°5F (7-18°C) only.",This tropical cacti likes bright partial light only. It should never be exposed to full sunlight or midday sunlight.,"Soil should be kept constantly moist, but never soggy. Do not allow water to sit in the dish underneath.","Due to its natural growing environment being on rocks or trees, this cactus requires rough soil to grow well. A 1:1 mixture of potting soil to pumice, tree bark, or perlite is required. Pumice is preferred.",Never re-pot during the bloom or following resting period. Re-pot by removing only the loose soil around the roots. Transfer immediately to a size larger pot and pack in with appropriate soil.,"The Easter cactus prefers fertilization every 14 days. Use a balanced 10-10-10 fertilizer, and dilute to half strength. Do not fertilize during resting period.","Hatiora gaertneri requires a humid environment to survive. The plant should be misted with a sprayer daily, even during the rest period, to simulate the needed humidity.","Any segment at least 3 inches long can be used for propagation. Allow the cutting to harden for at least 48 hours. Plant the small end of the segment in shallow, moist perlite. Rooting occurs between 3-4 weeks.",,Easter or holiday cactus, Hatiora Gaertneri (botanical/scientific).
Canary Islands.,Max 3ft tall.,Not known.,Temperatures averaging 70°F/21°C – 85°F/29.4°C. Avoid below 50°F/10°C. During summer this species will appreciate being taken outside and then brought back in when colder weather sets in.,"Provide at least a few hours sun each day. If you have south facing space to place the plant then great. West and east if south is not available, although growth may be slower.","During spring and summer provide a good watering when the top soil of the pot has started drying, to the touch. During winter cut down the water supply and allow longer periods of the top soil to dry out.",I would use a cactus soil mix already made. This soil provides enough drainage for the roots and air. Your own mix would need to be 1 part non peat soil and 1 part course sand (one option).,The Housetree leek is quite a fast growing plant. You may need to repot every year at first then when growth slows down every 2 years. A clay pot is best used that will allow water to evaporate easier than plastic pots.,From April – August I would use a weak liquid feed diluted only once every 2 weeks.,The humidity within most homes are suitable.,"2 – 4 cm stem tip cuttings can be taken then propagated with one rosette intact (use rooting hormone powder on the cut to encourage growth). Only allow the water to be moist (not soaked) then when you see new growth after a couple of weeks or so you can care for it as you do the parent plant. Also provide warm temperatures (end of spring..start of summer). You can also propagate using seeds, however, this is tricky for many growers and you will require temperatures to be between 70°F/21°C – 80°F/26°C.",,"Housetree Leek, Black Rose Tree", Aeonium Arboreum – var. Atropurpureum and Zwartkop/Schwarzkopf (botanical/scientific).
Madagascar.,18 inches in height.,Toxic to cats and dogs.,"Average room temperatures from 65°F/18.3°C – 75°F/23.8°C and no lower than 50°F/10°C, is best; avoiding frost if they are grown or sitting outside for a period of time.","The F. katy is a tough plant which can tolerate various lighting conditions, although it enjoys resting on a windowsill that is bright, but not too much direct sunlight during the summer. Some growers around October time will try and provide the plant with plenty of dark hours at night (up to 14 hours) to allow it to rest to encourage future blooms.",Because it’s a succulent it will hold water within it’s leaves. There’s no need to keep the soil damp all the time. When they need watering it’s a good idea to give them plenty and then allow the soil to become dry again.,When grown outside the plant thrives in most soils. Grown indoors a good potting mix that drains well will suffice.,These are re-potted around spring time. Do be careful when re-potting because the leaves can snap easily. They are kind of brittle.,"A standard liquid fertiliser diluted can be used once a month or so from spring until the end of summer. Check the instructions, for the fertilizer bought.",Normal room humidity is fine and they do not require misting.,"These are easily propagated by stem cuttings or leaf cuttings ( spring or summer). Treat them like other succulents and allow the cutting to dry out for a few days, then plant the cuttings in soil. A root should be forming within a couple of weeks or so, and then wait for new growth.",,Flaming katy, — Kalanchoe blossfeldiana (botanical/scientific).
North Mexico.,"Height 18 in/45 cm, diameter 10 in/25 cm.",Not known.,"Average temperatures between 60-80°F (15-21°C) from spring until fall, and between 50-55°F (10-12°C) during winter.",Desert cacti loves sun in it’s natural habitat and will grow well if you provide plenty of sunshine or partially shaded.,"It’s best to water the plant when the soil becomes dry from spring until near the end of fall. Just before the end of fall and throughout winter water now and again, only. If the cacti begins to shrivel then do water straight away, otherwise if it’s dry and not shrivelling it’s doing fine.","A well draining soil mix is advised..something like 60% perlite, 20% peat, and 20% compost, or a variation of this. You can buy a mix that is prepared if you do not want to prepare your own. You can add a type of gravel mix or small pebbles, laid at the top ( maybe an inch deep) which gives the cactus a dry desert look.",When they’re young (up to 3 -4 years) you can re-pot in to a slightly bigger pot every spring. After 3 -4 years only re-pot when necessary.,,Normal indoor humidity is fine for the Goat’s horn cactus and provide fresh air when it’s hot inside.,These are easily propagated with seeds and the germination temperature should be approximately 70°F – 80°F (21°C – 26.6°C).,,Goat’s horn cactus, Astrophytum Capricorne (botanical/scientific).
Mexico.,Height 60in (24cm). Diameter 36in (91cm).,Not known.,Temperatures averaging 50°F/10°C – 75°F/23.8°C are ideal but not below 40°F/5°C and avoid frost.,Plenty of sunshine will keep this cacti more than happy. In a glass room you may have to provide some shade during a hot summers day to prevent sunburn.,"From spring until fall; water similar to many other house plants by watering when the soil begins drying. Before and during winter barely water the plant. Overwatering, especially when the temperature becomes cold can rot this species.",A pot mixture used for cactus plants that drains well will suffice. Adding gravel or small pebbles at the bottom first few inches of the pot will encourage drainage.,When they are young and growing it’s best to re-pot these once a year; during spring in a slightly bigger container. Once they mature re-pot maybe every 2 – 3 years or when necessary.,Feed every 4 weeks with a high potassium fertilizer during summer.,"Humidity does not seem to be a major concern for the Echinocactus grusonii, which makes the average indoor environment fine, as it is. Provide as much fresh air as you can , but not cold drafts.",These are propagated with seeds once it fruits after flowering.,,"Golden barrel cactus , golden ball cactus, mother-in-law’s cushion",– Echinocactus Grusonii (botanical/scientific).
South Africa.,"Height = 3ft or much less, as a bonsai.",Toxic to cats and dogs.,Room temperatures of around 60°f / 15.5°c — 75°f / 24°c are ideal. Winter no less than 50°f / 10°c.,"The jade plant flourishes in good health with plenty of light. If you provide a few hours of sunshine a day, you will have a happy plant.","It’s best to allow the soil to dry between each watering, depending on the time of year, how much humidity, and the amount of sunlight it’s getting. Allowing too much water to sit at the bottom of the pot with the roots will cause them to rot (avoid this).","A good draining soil mix that is gritty is advisable to use, which is sold and used for cacti and succulents.","Re-pot (spring-summer) when the plant becomes root bound, or the soil needs renewing. A good solid and heavy pot is best to use because Jade plants are well known for being top-heavy. A heavy pot will prevent them from tipping over.",Feed each week or two (maybe less) with a weak or diluted liquid fertilizer. A fertilizer made for succulents may be your best bet; that does not need to be a high-strength type.,"They naturally survive in quite humid conditions, although you will please them with water mist.","Propagating is achieved with leaf or stem cuttings which are placed into a soil mix, then waited until they show some growth. Before placing them in the soil mix, you will prevent potential problems from the sap seeping out by allowing them to dry on a windowsill for a few days or so.",,"Jade, money, lucky, friendship"," Crassula Ovata, C.portulacea, C.argentea (botanical/scientific)."
Mexico,Height upto 1 ft (30 cm).,Mildly toxic for cats and dogs.,Cool temperatures in the winter no lower than 50 °F (10°F) – 55°F (12.7°C) is best and during summer between 65°F (18°C) – 75°F – (23.8°C+). The Sedum Pachyphyllum does tend to grow well in hotter conditions but it is important to remember that it should not be kept outside when the temperature drops to freezing. It should then be moved indoors and should be positioned by a western or southern facing window.,"Some direct light is preferable for this plant. South facing windows are ideal or west, north facing will not encourage growth.",During the spring and summer months the plant will require more water but it is important to allow it to dry out in between watering. It should be planted in soil that drains well and it should not be allowed to sit in water.,It can handle many different types of soil although it does not grow well in soil that has poor drainage. Soil that is well aerated is best suited. Ready made cactus soil is a good option that drains well. If making your mix include bark and sand or perlite.,I would suggets a grower repot every two years unless the plant as outgrown the pot. This is best done during spring.,It should be fertilized during the spring and summer and this should be carried out once a month. Use a diluted balanced feed at half the strength.,Normal room humidity is fine. Providing air circulation during the warmer months is advised (open doors or windows).,"To propagate, plant cuttings will have to be taken. To achieve this, cut off leaves located on the stem and allow them to dry. They can then be placed into the soil. To encourage growth, ensure that the potting soil remains slightly moist until the cutting shows signs of growth, but do not over water otherwise it will not survive.",,"Jelly beans, Many fingers", Sedum pachyphyllum (botanical/scientific).
Africa,Height 1cm – 10cm max.,"Not known, but it’s unlikely a pet will chew on this type of foliage, although they could be curious.","Due to its origin, the Lithop furelli can handle a broad range of temperatures. However, the plant will thrive better at a more consistent temperature of around 65°F -75°F.",The plant will benefit from plenty of light and this means that it should be facing south or west in order to receive as much light as possible. It is important for the plant to receive the maximum amount of light during the winter months when it’s growing.,The Lithop Fulleri prefers soil that is sandy and gritty and therefore drains well as they can rot if drainage is not sufficient. Cactus potting mix is a good soil.,The Lithop Fulleri prefers soil that is sandy and gritty and therefore drains well as they can rot if drainage is not sufficient. Cactus potting mix is good soil.,It is possible to propagate by dividing the offsets grown from the parent plant. The best method is to propagate by seed sown at a temperature of around 19°C – 21°C. The best time to propagate is during the months.,"Using fertilizer with this plant could lead to the tissues of the plant weakening which can then develop into rot. If they are fed, a grower only feeds them once during the winter growing period.",It will grow well in a room that has an average humidity and air circulation can help although it should not be placed in an area that is susceptible to drafts.,The Lithop Fulleri prefers soil that is sandy and gritty and therefore drains well as they can rot if drainage is not sufficient. Cactus potting mix is good soil.,,Lithops pseudotruncatella (botanical/scientific).,
Africa.,Height 5cm – max.,"Not known, but it’s unlikely a pet will chew on this type of foliage, although they could be curious.",The Lithops optica ‘rubra’ can deal with variation of temperatures due to its origin. The plant does benefit from a consistent temperature of 65°F (18°C)- 75°F (24°C) although it will need to be protected from frost.,This is a plant that thrives in areas of bright sunlight which is why it should be placed south or west facing. During the winter months it will need to receive as much light as possible. Make sure that some shade during the day is given the plant otherwise too much sun could cause overheating and harm.,"New leaves will begin growing in Autumn and continue during the winter months and it is after the leaves have grown that the plant can be watered. It is advised to let the plant dry out in between watering as well as during the summer months (dormancy period). The plant will require very little water during the winter, spring and summer months, if at all. If in doubt, don’t water is my best advice.","A sandy, loamy soil is best for the Lithops optica rubra as the plant can suffer from rot if the soil does not drain sufficiently. 1 part gravel, 2 parts sand with 1 part loam is another good mix.","It will do extremely well in the same pot for a number of years although it is advised to grow them in a smaller pot due to the fact that a large pot can inhibit the growth of flowers and the roots are very small. Prior to watering is when it should be repotted and it should be placed in a compost that is loam-based rather than organic. When repotting you could use a clay pot, this helps watering to dry out.",It is not advised to fertilize this plant as it can damage the tissues of the plant which can result in rot. If growers do feed them they only feed once during the winter growing season with a cactus or succulent diluted fertilizer.,A room that has good humidity will benefit the plant but the plant will not grow well in cold drafty areas. The Lithops optica also benefits from plenty of fresh air.,Propagating by seed that is sown at a temperature of around 21°C will produce the best results although they can be grown from parent plant division cuttings when more lithops have formed from the parent (this can be an issue because these plants like being clustered together) . Seedlings will take around three years to mature and begin flowering. Propagation should take place in early spring.,,Lithops optica ‘Rubra’ (botanical/scientific).,
Western Africa.,Height 30 inches tall (70 cm).,Snake plant is toxic to cats and dogs.,Average warmth is fine of approximately 60-75°F (15-24°C) and no lower than 50°F (10°C).,"The mother in laws tongue is well known for coping with direct sun and low light conditions, although bright light conditions with some sunlight and shade are preferred they handle many light levels.","Because this plant is a succulent, it stores water within its foliage, so it is not necessary to keep the soil damp. Water from spring to fall when the soil becomes dry to the touch and during the winter only once a month. Be careful not to overwater, as this can cause the root and base of the plant to rot.",I would just use a common well-draining cactus and succulent potting mix available from all garden stores.,"The snake plant does not enjoy being re-potted very often, so I’d recommend repotting every 2-3 years or if the plant is filling up or looks too large for the pot it’s in.","During the main growing season (spring-fall), feed with a diluted cactus and succulent fertilizer once a month.",Average house humidity is advised – but this plant can tolerate dry air conditions and drafts.,Propagating Snake Plant by division during re-potting time is a good choice given enough plant growth. You may also remove offsets that appear near the base of the plant or propagate 2-inch leaf cuttings. Dividing the plant seems to be the most successful approach.,,snake plant,Dracaena trifasciata
Madagascar.,2 – 3ft.,Toxic to cats and dogs.,"The kalanoche will do well in temperatures of 65 – 75°F (16C – 24°C). It needs a minimum of four hours of sunlight a day. If you grow it outside, bring it indoors before the first frosts, but do it gradually as the sudden change of temperature can cause the plant some stress.","It will grow in direct sunlight, or in bright-light shaded.",Water only when the soil is dry. Do not allow the leaves to get wet as this might cause rotting. Use room temperature water. During the winter allow the soil to dry out between waterings.,Commercial cactus soil mix will be enough for this plant. If you use standard soil use some sand or perlite for better drainage.,"Early spring, but only when the plant outgrows the pot. Choose the next pot slightly larger than the original one.","Every month, between March and September. Use a liquid fertilizer, diluted by half.","It does not like high humidity. An average, room humidity is perfect for this plant.","Pick some of the plantlets from the leaves. Put the cactus mix soil into a pot. The pot doesn’t have to be deep as the roots won’t be long at first. Put the plantlets on the surface of the soil. Put a plastic wrap over it. Put the pot in a sunny place. Keep the soil moist, but no not overwater. Remove the plastic wrap when the plants are tall enough and slightly touch the plastic. Replant to a bigger pot when the new plants outgrow the pot.",,"Mother Of Thousands, Devils backbone, Mexican Hat, Evil Genius (common names). Bryophyllum Daigremontianum and Kalanchoe Daigremontianum",
South Mexico.,"4 feet wide, if not pruned.",Not known.,"Keep this cactus between 60-75ºF (16-24ºC) during its active cycle. During the resting period, daytime temperatures must be 60-65ºF (16-18ºC) and night-time temperatures must be 40-55ºF (4-12ºC).",These plants prefer their sunlight to be indirect or filtered. Do not expose to sunlight during the heat of the day. A healthy plant will show dark green growth with red edges if the right amount of light is being provided.,"The soil of Disocactus ackermannii must have careful attention paid to its moisture levels. The roots must never dry out, but the top 1/3 inch of soil should become dry between watering.","Best mixture for this plant to thrive is 3 parts potting soil to 1 part pumice, bark chips, or perlite. Pumice is preferred.","As the root system expands, your plant will need to be re-potted. Every 2 years, move the plant to a single size larger pot. Do not remove the soil from around the roots during transplant. Instead, shake the excess off, and fill in the gaps around the roots with new soil. Never re-pot within a month of blooming.","Once a week during the summer and fall months, offer your orchid cactus a balanced mixture of fertilizer such as 10-10-10, diluted to 1/4 teaspoon per gallon. In the spring, a blooming fertilizer such as 7-9-5 should be used. During the winter rest period, use the balanced fertilizer, but reduce feeding to once per month.","During the spring, summer, and fall, normal room humidity is tolerated. During the winter rest, humidity should be lowered with a dehumidifier in the resting room.","From seeds, this cactus takes 12-15 years to mature to the blooming stage. Propagation of a flowering plant takes one year, and is achieved by breaking off sections at least two leaf segments long. Permit the cuttings to harden for one week, then plant exactly two leaf serrations deep in soil. Water sparingly but regularly.",,Orchid Cactus, Disocactus Ackermannii (botanical/scientific).
Madagascar.,Height 1.5 ft.,Toxic to cats and dogs.,Temperatures between 60-75 ºF (15-23 ºC) are advised.,"This kalanchoe – like many other succulents loves basking in bright light and sunshine. A mixture of direct, indirect and shade is a good balance of sunlight – if that can be provided.","Only water once the soil has become dry and then soak the soil, but do not leave water in the bottom tray. During the winter you’ll need to water less. Because this is a succulent – it stores water within its leaves, so even if you forget to water for a period of time the plant will be fine.","I would use a cacti and succulent potting mix, or your own mix which drains easily (part sand).",The panda plant is a slow grower which will only need re-potting once every 2 years and then less once it matures.,"You can feed once every 4 weeks with a diluted fertilizer, from spring until the end of summer.",Normal room humidity is fine and it may also tolerate dry air.,"Leaf cuttings can be taken and planted in new soil during spring. Give the leaf cutting a week of drying out before re-potting, then you can expect them to begin rooting within 4 weeks.",,Panda plant or pussy ears, Kalanchoe tomentosa (botanical/scientific).
South America.,45cm or longer trailing stems.,Non-toxic to cats and dogs.,"Ideal temperatures of 65-75ºF (18-24ºC), and no lower than 50ºF (10ºC). Avoid sudden temperature drops and cold drafts.","This peperomia requires bright light without direct sunlight. Too much direct sunlight may scorch the leaves. Not enough light, growth will be lacking.","Water when the soil becomes dry to the touch then provide a thorough watering. Peperomias are semi-succulent in nature which makes overwatering a big problem, but they do need more watering than many succulents. When lacking water the plant will just wilt, which is easy to resolve. During winter – water much less.","A peat based potting mix is best used that drains well. 2 parts peat and 1 part perlite is a good mix. Other mixes work well as long as they drain well, and can retain some moisture.",Repot when the plant outgrows its current pot which should not be very often and only one size up. The Peperomia puteolata has fairly small roots which makes it suitable to be potted in a shallow pot or even better with other peperomias.,During spring and summer fertilizing with a liquid feed at half strength or less every two weeks will encourage growth and leaf color. Stop feeding at the end of summer.,"Normal indoor humidity levels should be fine. During the summer misting the leaves is advisable and grouping plants, especially other peperomias may help improve humidity.","Leaf and stem tip cuttings may be propagated. The leaves on this species are smaller and less succulent than other peperomias, which makes stem tip cuttings the best option. Take a few centimeters of stem tips with one or two leaves attached and at least one node. Allow a day for the wound to heal then transplant into a small pot with moist soil, partly peat and perlite or vermiculite. To encourage new growth, provide warm temperatures of about 20ºC (68ºF) with bright light, and you may wish to use rooting hormone on the cut and cover the pot/tray with a plastic cover.",,Parallel peperomia, Peperomia puteolata (botanical/scientific).
South America.,Stems can grow up to 30ft (in the wild – outdoors) and more than 3ft indoors.,Not known.,"Temperatures averaging 60°F/°15.5C – 75°F/23.8°C is ideal from spring to fall and a cooler 50°F/10°C – 55°F/13°, after this period.","The Peruvian apple cactus thrives on bright light and sun light, although direct sun when blazing hot is best avoided, when first introduced to direct sun.","It’s advisable to water this plant more often within the summer and much less, winter time. Like other desert type cacti their natural habitat is dry and they store water within the stems. Water this plant when the soil begins drying out, throughout spring and late summer. In late summer reduce watering until the next spring and allow the soil to be fairly dry.",A fast draining pot mixture used for cactus plants is ideal.,"While they’re young they can be re-potted each year in spring. Once they mature re-pot only when necessary, with a slightly larger pot.",,No misting is required. A well ventilated room during the summer is preferable.,"This cacti is propagated with cuttings from the stem top (especially when it’s growing too high), or offsets during spring or summer. They can also be propagated with seeds at temperatures from 70°F/°21C – 80°F/26.6°C, although this method is much more difficult than propagating cuttings. When using cuttings, allow the cutting a week or two to dry before planting in a peat based compost.",,Peruvian apple, Cereus peruvianus (botanical/scientific) “not verified”.
"South America, Peru",15 – 20 cm tall – 10 – 25 cm spread.,Non-toxic to cats and dogs.,"Ideal temperatures of 65-75ºF (18-24ºC), and no lower than 50ºF (10ºC).","Bright light without direct sunlight is best suited, although a small amount of direct sun may not do any harm. Not enough light will cause the plant to lack growth.","Underwatering will cause wilting and overwatering can seriously harm the plant, causing plant rot. Water when the soil has become dry and then water thoroughly. During the winter water is much less. Better to water less than overwater as the effects of less watering are easily resolved and won’t create root rot.","A peat-based soil is best used that drains well. 2 parts peat and 1 part perlite or sand is a good mix. The medium must drain well and be well aerated, but it requires some kind of water retention for the small roots to absorb nutrients.",Repot only when the plant has outgrown its current pot and only to the next size up with drainage holes. Remember the roots are very small and are not likely to fill most pots. Renewing the soil annually is good practice.,"During spring – while the plant is growing use a diluted liquid fertilizer once every 2 weeks, and once a month during summer. No feeding is required after summer until the next spring.","Normal room humidity levels should be fine. Increasing humidity with misting (during summer) and grouping the Peperomia ferreyrae with other plants, especially other peperomias is good practice. If you see signs of lack of humidity and dry air appearing then make efforts to provide extra air moisture.","Taking leaf cuttings is the most common method of propagation. When stem cuttings are taken, allowing a day for the wounds to dry out is good practice for replanting. Try to provide warm temperatures of about 20ºC (68ºF) with bright light and cover cuttings with plastic to encourage growth until you see the first appearance of growth.",,"Pincusion Peperomia, Bean Plant (common name). Peperomia ferreyrae (botanical/scientific name), green bean",
Mexico.,Stems can grow a few feet long.,Not known.,Temperatures averaging 50°F/10°C – 75°F/23.8°C are ideal but not below 40°F/5°C and avoid frost.,"The rat tail cactus thrives on bright light, but not direct sunlight. It also enjoys the warmth of the summer sun while it sits within a shaded area. Some sunlight and shade is great.","It’s advisable to water this plant frequently within the summer and much less winter time. Add water at the top of the pot or container and allow it to seep through to the drainage holes, then remove the excess water from the pot tray. Keeping the soil slightly moist is also advisable within the summer.",A pot mixture used for cactus plants will suffice.,Re-potting every 2 -3 years is advised and when it becomes pot bound. Remember the spines can be prickly so you may want to wear protective gloves while re-potting.,,"Humidity does not seem to be a major concern for the Disocactus flagelliformis, making the average indoor environment fine – as it is.","These are propagated by stem cuttings early summer. When they are cut – you will find – letting them dry for a few days helps the process, because the wounds can heal.",,Rat’s Tail, Aporocactus Flagelliformis or Disocactus flagelliformis (botanical/scientific).
South africa.,Diameter 8in – 20cm approx. Leaves 6in – 15 long.,Not known.,Temperatures averaging 70°F/21°C – 90°F/32°C are very good and not below 50°F/10°C.,"This species is a sun lover and requires 3 hours or more sun to encourage blooms during Fall. During winter shade and less light is fine but, don’t make the mistake of watering too much.",A thorough watering is needed when the top soil is becoming slightly dry to the touch. During winter cut watering down and let the soil dry out much more. A sure way to kill this plant is to overwater it during the winter. Never leave the plant standing in water.,"A cactus potting mix will do the trick and already has the essential nutrients within the soil needed. Your own mix will need to be a non peat based compost, one part course sand – 2 parts soil.",Repot every two years or when the current pot becomes too small. Only move to a pot slightly bigger and use a shallow container because of the small root system. Also make sure the pot has decent drainage holes.,From April – August I would use a weak liquid feed diluted only.,Normal house humidity is fine. Open windows and doors to provide enough air within the room.,One method is to remove pups (offsets) by hand that are attached to the parent plant. Great if you find roots attached because they will begin growing quickly. If there are no roots I would pot up the plant after two days to allow the wound to begin to heal then place in moist soil. After planting offsets I would water once (just to make the soil moist – not wet) then wait to see a slight bit of new growth before watering again and keep the plant away from direct sunlight until this new growth has appeared. This plant can also be propagated with seeds and for the germination process to begin you will temperatures to be between 70°F/21°C – 80°F/26°C (not always easy and successful for the average grower).,,Tiger Jaws, Faucaria Tigrina (botanical/scientific).
South America.,25 – 30 cm or longer trailing stems.,Non-toxic to cats and dogs.,"Ideal temperatures of 65-75ºF (18-24ºC), and no lower than 50ºF (10ºC).","Bright light without direct sunlight is best suited. A small amount of morning or evening sun won’t harm, but midday sun could scorch the leaves and harm the plant. South, east or west facing areas are best suited and check if the plant needs to sit further back from the window.",Overwatering is the worst offender for most Peperomias including this species. This is because of its succulent nature and small roots . Allow the soil to become dry then water thoroughly. During the winter reduce watering to a minimum. Better too little than too much.,"A peat based soil is best used that drains well. 2 parts peat and 1 part perlite or sand is a good mix. Other mixes will work well, but the main point is for the medium to drain well and be well aerated.",The trailing jade rarely requires repotting. A soil or top soil change is a good idea once a year but only repot when the existing pot is much too small. Remember the roots are very small which makes it easy for the soil to become waterlogged and will harm the plant.,"During spring – while the plant is growing use a diluted liquid fertilizer once every 2 weeks, and once a month during summer. No feeding is required from autumn to spring","During the summer mist the leaves. As the plant does prefer high humidity, grouping it together with other plants is a good idea. This will increase humidity within the area. If dry air problems occur – make efforts to improve the humidity, but most will be fine with normal indoor humidity levels.","Stem tip and leaf cuttings can both be propagated. Take a few centimeters of stem tip with one or two healthy leaves attached and allow the tip or leaves ‘if taking leaf cuttings’ to dry out for a day, and then plant them in moist peat based potting mix. Try to provide warm temperatures of about 20ºC (68ºF) with bright light. Rooting hormone may be used on the wounds when propagating and a plastic cover over the pot/tray will improve humidity and provide warmth.",,"Trailing jade, round leaf Peperomia", Peperomia rotundifolia (botanical/scientific).
Africa,Height 1cm – 5cm max.,"Not known, but it’s unlikely a pet will chew on this type of foliage, although they could be curious.","The Lithop Pseudotruncatella is a plant that is suitable for a wide range of temperatures ranging from 50°F to 100°F. However, to ensure that the plant receives a stable and consistent temperature it is best to position it in temperatures of around 65°F – 75°F where it will thrive.",It grows extremely well in South or West facing areas due to it needing constant sunlight.,"Once new leaves have developed during the summer the plant can be watered. The pot is almost left to dry out before being watered again and this generally continues through until October. However, during the height of summer it is recommended that the plant is watered a minimum of once a week but during the winter months the plant is kept dry.",Lithops prefer a soil that drains well with very little organic matter. A permeable substrate can be added to the soil along with gravel and sand to improve drainage,The best time to re-pot is prior to its first watering with a well-drained loam-based compost being the best choice.,It will not require fertilization as this only weaken the tissues of the plant which can lead to rot.,Normal room humidity will work fine but air circulation is advisable providing it is not directly placed near a cold draft.,"It is possible to use cuttings but this is not always worthwhile as old plants can become tired looking. Therefore, it is best to propagate by seed that is sown at a temperature of 66-70 °F during the early spring.",,Truncate living stone, Lithops pseudotruncatella (botanical/scientific).
